deltaT,dairy_network,no_of_reachable_nodes
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,14
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,32
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,1514
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,2132
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,2710
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_0.network,3056
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,6
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,1457
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_1.network,2231
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,13
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,330
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,2128
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_2.network,2340
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,1587
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,1835
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_3.network,2171
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,3
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,1762
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,2093
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_4.network,2278
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,1345
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,1721
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,2096
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_5.network,2275
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,1659
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2019
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2561
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_6.network,2829
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,15
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,1855
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,2325
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,2787
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_7.network,3162
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,20
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,1171
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,1617
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,2098
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_8.network,2357
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,1335
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,1689
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,1828
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_9.network,2157
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,14
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,173
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,1012
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,1546
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_10.network,1823
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,14
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,42
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,1347
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,1506
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_11.network,2332
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,17
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1012
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1533
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_12.network,1712
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1016
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,1659
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,2155
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_13.network,2556
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,1808
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,2459
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,2988
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_14.network,3387
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,946
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,1314
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_15.network,1598
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,20
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,1984
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,2263
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_16.network,2660
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,903
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1390
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1737
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,1985
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_17.network,2234
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,33
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1364
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1758
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_18.network,1989
