state,month,indeg,outdeg,pagerank
IA,January,129,435,0.09379651761902168
MN,January,404,109,0.13657229346436142
WI,January,180,142,0.09522600808209926
NM,January,28,90,0.018039224751502998
TX,January,177,89,0.06098879139716016
SD,January,78,31,0.03673534611460822
NY,January,38,200,0.040679192071179114
PA,January,66,55,0.024007930466533666
VT,January,40,1,0.015778171891217278
OK,January,22,39,0.012730485455010326
CA,January,24,107,0.018464911494322462
AZ,January,39,2,0.012851659595080703
MI,January,99,39,0.05369448585244079
IL,January,44,41,0.022075727310319156
KS,January,75,77,0.03500090769956268
OH,January,81,35,0.04598331114965815
ID,January,46,62,0.019174358500370962
MD,January,20,39,0.009769677673387541
NE,January,26,27,0.012282063003728855
GA,January,14,28,0.011183411248223944
FL,January,40,19,0.018491824566550883
IN,January,68,41,0.04562367449103977
UT,January,9,22,0.005679491795916378
MO,January,26,32,0.012444547560800906
CO,January,47,27,0.030929888829697837
WA,January,18,11,0.010720332699648128
ND,January,2,12,0.00491032136175908
NV,January,8,0,0.004951821955237376
TN,January,7,31,0.0065619608205676055
KY,January,33,27,0.018547098949092202
WY,January,16,1,0.01259401373337143
OR,January,11,7,0.0077857144109175925
MA,January,4,2,0.0043536205079062916
VA,January,8,17,0.0056449993777503895
AR,January,0,9,0.003662067412704731
MT,January,1,6,0.003924957337188926
SC,January,1,7,0.004001568814254589
NJ,January,5,2,0.004962842103280947
CT,January,2,1,0.004007843960305511
WV,January,0,5,0.003662067412704731
NC,January,1,11,0.0038349556865051207
NH,January,1,1,0.0038349556865051207
ME,January,1,0,0.0038349556865051207
IA,February,115,392,0.09505785485806154
MN,February,361,98,0.1367269978452859
WI,February,160,129,0.09473603356390951
NM,February,26,81,0.018010543791504293
TX,February,162,80,0.06062654831090025
SD,February,70,27,0.03694201436482384
NY,February,32,177,0.042257434567247086
PA,February,61,48,0.02680026099280497
VT,February,36,1,0.016800700946626494
OK,February,18,35,0.011909185365398178
CA,February,22,96,0.01850785031975406
AZ,February,35,2,0.012878662193575613
MI,February,86,36,0.0545569492422252
IL,February,40,37,0.022279116369963825
KS,February,66,68,0.031452501573188865
ID,February,41,56,0.019395195570977568
OH,February,74,31,0.049053624770388125
MD,February,17,36,0.01009591891843903
NE,February,23,22,0.012441845906923842
GA,February,12,23,0.01209592969056429
FL,February,33,16,0.019007427361176145
IN,February,61,37,0.048026320461771715
UT,February,9,20,0.006128234461984012
MO,February,21,27,0.010989054501867154
CO,February,41,25,0.020098936178230564
WA,February,15,11,0.010397181789932302
ND,February,2,11,0.005262076417635195
TN,February,6,26,0.006733155726465009
KY,February,27,23,0.018947992222313678
NV,February,7,0,0.0051478336253399145
WY,February,14,0,0.01009027294172917
OR,February,11,7,0.008113711334060247
MA,February,4,2,0.004681866587611825
VA,February,7,14,0.0060674704092081345
AR,February,0,7,0.0038701170901885157
MT,February,0,3,0.0038701170901885157
SC,February,1,5,0.004317153057262689
NJ,February,5,2,0.00546357463210673
CT,February,2,1,0.0042759918389001705
WV,February,0,3,0.0038701170901885157
NC,February,0,9,0.0038701170901885157
NH,February,1,1,0.004073054464544343
ME,February,1,0,0.004073054464544343
IA,March,130,435,0.09368460500357709
MN,March,403,110,0.1361683438205808
WI,March,180,143,0.09496052149304479
NM,March,27,89,0.017435877277870358
TX,March,178,88,0.060473373460525004
SD,March,79,31,0.036568318882390954
NY,March,38,199,0.04101004823215514
PA,March,66,56,0.024507076872182218
VT,March,40,1,0.015868120867488022
OK,March,21,39,0.012107174352476999
CA,March,24,108,0.018259790407190477
AZ,March,38,2,0.012491103034278197
MI,March,99,39,0.0546570730563976
IL,March,43,41,0.02109036327846973
KS,March,74,76,0.03372462906668898
ID,March,46,61,0.018799583396644774
OH,March,83,35,0.048304531901671784
MD,March,20,39,0.009921740294147679
NE,March,27,28,0.01239139336601357
GA,March,14,28,0.011553180043521627
FL,March,40,20,0.019191318666341023
IN,March,68,40,0.04619651280100877
UT,March,9,22,0.005664707515582625
MO,March,26,32,0.01235797316361555
CO,March,47,27,0.030615554864006248
WA,March,18,11,0.010594205084132361
NV,March,8,0,0.004929707448019809
ND,March,2,12,0.004896900684804889
TN,March,8,32,0.007401181317599311
KY,March,32,27,0.018381403023438752
WY,March,16,1,0.012436984560322965
MA,March,4,2,0.004362344774487306
OR,March,11,7,0.007740551881138027
VA,March,8,18,0.005674869638010635
AR,March,0,9,0.0036616676154289335
MT,March,1,7,0.003923646071923888
SC,March,1,5,0.00401239334441638
NJ,March,5,2,0.004972214202203722
WV,March,0,4,0.0036616676154289335
CT,March,2,1,0.004012006194958119
NC,March,0,10,0.0036616676154289335
NH,March,1,1,0.0038368369051935266
ME,March,1,0,0.0038368369051935266
IA,April,195,420,0.10674127271902858
MN,April,376,127,0.11012480171249359
NY,April,46,418,0.031043597089727842
PA,April,186,50,0.04539067399571413
WI,April,196,176,0.09275964023686137
VT,April,53,25,0.012518146212020824
OH,April,119,40,0.06233806567536908
TX,April,111,136,0.045096420562293855
NM,April,53,12,0.019631023444466184
SD,April,54,50,0.021485091833635516
MI,April,103,28,0.0536906699721462
IL,April,80,19,0.035458429093468545
OK,April,5,57,0.004842073962790024
IN,April,118,49,0.07527262650841987
CA,April,61,78,0.035405379005296674
AZ,April,36,8,0.01740660607397906
KS,April,46,89,0.015768796438328497
NE,April,24,10,0.009461196825122357
MA,April,19,0,0.006707388574034164
MD,April,26,17,0.01224682863126781
CT,April,15,8,0.005713123751110306
ID,April,44,46,0.020807886958384876
MO,April,49,31,0.018431858401126298
CO,April,31,39,0.014821911022554722
UT,April,15,25,0.00930569805213102
ND,April,3,22,0.005245510296352418
GA,April,21,26,0.010356437570766201
FL,April,33,17,0.012238328576329406
VA,April,10,36,0.006173921155007361
OR,April,6,17,0.006614509052608845
WA,April,29,20,0.013826412635024345
TN,April,5,48,0.0052127132182037
KY,April,36,16,0.017070568022521337
AR,April,0,13,0.0036952523066999597
SC,April,1,11,0.004033830089055683
MT,April,1,7,0.004079777158981545
NV,April,3,4,0.004852844816644809
WV,April,0,9,0.0036952523066999597
NJ,April,2,4,0.003821503721871638
NC,April,5,11,0.004371288871218423
WY,April,3,1,0.004725887421671487
NH,April,1,1,0.003758378014285799
ME,April,1,0,0.003758378014285799
