state,month,indeg,outdeg,pagerank
CA,January,937,1020,0.037324109405969294
MN,January,905,610,0.16187585171472768
IA,January,537,843,0.050636564194270595
TX,January,397,309,0.07017211421991268
NY,January,228,390,0.03819852622881373
ID,January,202,218,0.029030165390662156
WI,January,323,285,0.053743558274720965
MI,January,219,159,0.06686356249783733
FL,January,149,128,0.04270855957570152
NM,January,62,124,0.011146130139042431
KS,January,135,137,0.02522467315820613
CO,January,95,75,0.03359889463772197
WA,January,65,58,0.023693562677076296
PA,January,113,102,0.02526431153063048
SD,January,89,42,0.016554137545645164
VT,January,50,11,0.0522295494843056
OH,January,115,69,0.03776733814272285
IN,January,95,68,0.02958005285506558
OK,January,37,54,0.009327080391164906
AZ,January,59,22,0.02935776318074268
IL,January,56,53,0.011880720100399979
KY,January,53,47,0.016707942838652675
MD,January,32,51,0.00927070412648258
NE,January,39,40,0.008709702663378062
GA,January,29,43,0.010353576767665105
UT,January,15,28,0.005395792067670446
MO,January,36,42,0.008830692049481706
TN,January,14,38,0.006302920643646671
OR,January,18,14,0.009147038507762899
ND,January,6,16,0.004974068380755264
NV,January,8,0,0.003971425360662251
WY,January,17,2,0.0130181422913376
VA,January,13,22,0.006069274992000101
MA,January,5,3,0.005544443989069274
AR,January,0,9,0.0036404865675007704
MT,January,1,6,0.003753681820319544
NC,January,4,14,0.004553049201189437
SC,January,2,8,0.004302271300908591
NJ,January,5,2,0.0043825901883668
CT,January,2,1,0.0038069988814043764
WV,January,0,5,0.0036404865675007704
NH,January,1,1,0.0037237427244525734
ME,January,1,0,0.0037237427244525734
CA,February,847,921,0.03671956496184367
MN,February,815,552,0.15812357616188313
IA,February,483,760,0.049591152088910344
TX,February,360,278,0.06873539216833434
NY,February,203,348,0.038017149874622735
ID,February,182,197,0.029621264956534485
WI,February,289,258,0.05134718358113798
MI,February,195,145,0.0638386430493586
FL,February,133,116,0.04472306820832604
NM,February,56,111,0.010891271642516217
KS,February,120,122,0.023031747703348725
CO,February,84,68,0.020733580408990177
PA,February,103,90,0.02696877165925598
WA,February,57,53,0.02087120293255667
SD,February,80,37,0.016209446774611114
VT,February,45,10,0.050856318740851066
OH,February,104,61,0.03966510782418251
IN,February,85,61,0.030124615224053963
OK,February,32,49,0.00898447943578287
AZ,February,54,21,0.028254258446262344
IL,February,51,48,0.011941818840358512
KY,February,44,40,0.016095894441109166
MD,February,28,47,0.008819655723621261
NE,February,35,34,0.008869083049368702
GA,February,25,36,0.011061786007548285
UT,February,14,25,0.005432822707230272
MO,February,30,36,0.00804945637032233
TN,February,13,33,0.006432575929830604
OR,February,18,14,0.009203139192344506
ND,February,5,14,0.004817007229350608
NV,February,7,0,0.003971851421300197
WY,February,15,1,0.04041108942761826
VA,February,12,19,0.006424707229694191
MA,February,5,3,0.0055983363262133105
AR,February,0,7,0.0036406888147570305
NC,February,2,11,0.0043061912515780145
MT,February,0,3,0.0036406888147570305
SC,February,2,6,0.004545874975253688
NJ,February,5,2,0.004495336396748538
CT,February,2,1,0.0038264111890592436
WV,February,0,3,0.0036406888147570305
NH,February,1,1,0.003733550001908137
ME,February,1,0,0.003733550001908137
CA,March,936,1020,0.037008483865758994
MN,March,905,612,0.1603658574320985
IA,March,539,844,0.05078191998398139
TX,March,398,308,0.07146770268582531
NY,March,227,388,0.03840654242300255
ID,March,204,219,0.028652783498086268
WI,March,323,286,0.05338641109701114
MI,March,219,159,0.06588078713625639
FL,March,150,130,0.04412460618822946
NM,March,61,123,0.011010545555203704
KS,March,133,135,0.024571206336957425
CO,March,95,75,0.03338560681554571
WA,March,65,58,0.023334476889518386
